Stichwort,Titel,Beschreibung,Sprachausgabe
maala,maala,"(gmaalat)'malen, zeichnen; etwas mit Farbe bestreichen'.",
maana,Maana,"m.'Mond'. Mhd. mâne.","Dein Browser unterstützt die Sprachausgabe nicht."
maanat,Maanat,"m. Pl. gl.'Monat'. Mhd. mânet.",
maara,maara,"(gmaarat)'mürbe werden, nachreifen', besonders vom Obst. Zu mhd. mar 'weich, mürbe'.",
maarch,Maarch,"f. Pl. Maarchha'Grenze'. Z Maarch gaa '«zu Maarch gehen»; vor dem Mähen die Flurgrenzen ablaufen und so eine sichtbare Spur ziehen'.",
maarchha,maarchha,"(gmaarchhat)'eine Maarch machen; Grenzen abstecken'.",
maarti,Maarti,"m.,männl. Vorname Martin. Der Hl. Martin ist Patrom der Kapelle beim Steg.",
maarx,Maarx,"m.,männl. Vorname Max(imilian).",
maasa,Maasa,"m. Pl. gl., Dim. Maasi'Flecken', z. B. auf Kleidern'Wundmal, blutunterlaufene Stelle am Körper'. Vgl. auch Flära.","Dein Browser unterstützt die Sprachausgabe nicht."
maasleidig,maasleidig,"'unnachgiebig'. Zu mhd. maz 'Speise, Essen'.",
machha,machha,"(gmachhat)'machen','herstellen, erzeugen'. Uf da Wäg machha '(sich) auf den Weg machen', uf d Füass machha '(sich) auf die Beine machen'.",
mada,Mada,"f. Pl. gl.'Grasschwade, die beim Mähen entsteht'.",
mader,Mader,"m. Pl. gl.'Mäher; derjenige, der mäht'.",
maedla,mädla,"(gmädlat)'(kleine) Mada machen'. Vgl. auch madna.",
madleena,Madleena,"f.,weibl. Vorname Magdalena.",
madleeni,Madleeni,"n.,weibl. Vorname, Koseform von Madleena.",
madna,madna,"(gmadnat)'Mada machen'. Vgl. auch mädla.",
madratza,Madratza,f.'«Matratze»'.,
magara,magara,"(gmagarat)'mager werden, weniger werden'.",
magaschlus,Magaschlus,"n.'Magenkrebs; Verschluss der Speiseröhre'.",
magawee,Magawee,"n.'«Magenweh», Magenschmerzen'.",
magazii,Magazii,"n.'Magazin', hauptsächlich der 'Schuppen, in welchem die Baumeister das Werkzeug untergebracht haben'.",
magd,Magd,"f. Pl. Mägd, Dim. Magdi'Magd',im Diminutiv lobend für das weibliche Kind, entsprechend Chnächt. 
Mhd. maget.",
mager,mager,"'mager', besonders von Personen und vom Fleisch, aber auch 'ungedüngt, einmähdig' vom Boden.",
magerheu,Magerheu,"n.[màgerhéu]'Heu von einer ungedüngten Wiese'.",
magerheua,magerheua,"(gmagerheuat)[màgerhéua]'das Magerheu einbringen'.",
magerheuhuetta,Magerheuhütta,"f. Pl. gl., meist im Diminutiv Magerheuhütti'Hütte auf dem Magerheuberg für das geerntete Magerheu'.",
magerheutoora,Magerheutoora,"m.'Eberwurz, Wetter-, Silberdistel (Carlina acaule)'.",
magroona,Magroona,"f. Pl. gl.'Teigware(n), Nudel(n)'. Ital. maccarone.",
mai,Mai,"siehe Mei",
mael,Mäl,"n.'Mehl'. Chäärnis Mäl 'halbweisses Weizenmehl'. Mhd. mël.",
malaad,malaad,"'krank'. Frz. malade.",
malaeschta,Maläschta,koll.'Schwierigkeiten'.,
maelch,mälch,"'«melk», Milch gebend; günstig (vom Gedeihen milchreicher Futterkräuter); ertragreich (an Heu)'.",
maelcha,mälcha,(gmälchat)'melken'.,
maelcheimer,Mälcheimer,"m.'hölzerner Eimer, in den gemolken wird'.",
maelchstual,Mälchstual,m.'Melkstuhl'.,
malefitz,Malefitz,"m.'ungezogenes, freches Kind'. Meist nicht böse gemeint.",
maelig,mälig,"'mehlig', auch vom Obst oder von den Kartoffeln.",
maelmaesli,Mälmäsli,n.'«Mehlmass»'.,
maloeoer,Malöör,"n. Pl. gl.'Missgeschick'. Frz. malheur.",
maelsuppa,Mälsuppa,"f.'Einbrennsuppe', in Fett geröstetes Mehl mit Wasser. Bleich wia an kotzati Mälsuppa '«bleich wie eine gekotzte Mehlsuppe'.",
malta,Malta,"f.'Mörtel'. Ital. malta., jünger für Pflaschter.",
maeltruegga,Mältrügga,"f.'Schublade für das Mehl im Küchenschrank'. Zu Trügga.",
mamma,Mamma,"f. Pl. gl.'Mutter'.",
mammasuuger,Mammasuuger,"m.'«Mamasauger»; Kind, das immer an der Mutter hängt'.",
mang_1,Mang,"m.,männl. Vorname Magnus.",
mangla,mangla,"(gmanglat)'mangeln, fehlen'. As manglat ma a nüüd '«es mangelt ihm an nichts»'.",
manglchruud,Manglchruud,"n.'Mangold', eine Unterart der Rungglrääba.",
manierli,manierli,"'«manierlich», artig, gesittet' vom Benehmen.",
mantel,Mantel,"m. Pl Mäntel, Dim. Mäntali, Mantelti 'Mantel'.",
marcht,Marcht,"m. Pl. Märcht 'Markt'.",
maria,Maria,"f.,[má:ria]weibl. Vorname Maria.",
mariili,Mariili,"n.,weibl. Vorname, Koseform von Maria.",
marood,marood,"'kränklich'. Frz. maraud.",
marsch,marsch,"'schnell, sofort'. Jetz aber marsch 'aber sofort jetzt'. Zu frz. á la marche oder allez-marche.",
marzaell,Marzäll,"m.,männl. Vorname Marzell.",
marzi,Marzi,"n.,weibl. Vorname, Kurz-/Koseform von Marzellina.",
maes,Mäs,"n. Pl. gl., Dim. Mäsli'Mass'. Ds Mäs nä 'Mass nehmen, abwiegen'.",
masbild,Masbild,"n. Pl. Masbilder,'Mann' im Pl. 'Gesamtheit aller Männer'.",
maschkaraada,Maschkaraada,"f.'«Maskarade», Fasnachtsmaske'.",
masig,masig,"ist Gras, welches sich nur schlecht zum Heuen eignet, schlecht zu dörren ist, etwa Schärlig, Plachta und Hundsnälla. Auch schwiimasig.",
maess,Mäss,"f. Pl. Mässa'Heilige Messe', vor allem die Messe am Sonntagmorgen (siehe Amt). Under dr Mäss 'während der Messe'.",
maessbuach,Mässbuach,"n.'«Messbuch», Gesangsbuch', es liegt in der Kirche auf.",
masscha,Masscha,"f. Pl. gl., Dim. Masschi  'Masche', speziell beim Lisma,'Schleife in einem Band als Haarschmuck oder Schmuck weiblicher Kleidung'.",
maesswii,Mässwii,"m.'«Messwein», der für das Messopfer bestimmte Wein'.",
mataeuf,matäuf,"'«mannstief»; sehr tief'.",
mateeri,Mateeri,f.'Eiter'.,
mateias,Mateias,"m.,männl. Vorname Matthäus.",
matsch,Matsch,"m. Pl. Mätsch'breiartige Masse', speziell vom nassem Schnee auf der Strasse, (Pflutsch),'«Match», Fussballspiel'.",
matschig,matschig,"'breiig, weich'.",
maeua,mäua,"(gmäuat)'(wider)kauen', vom Vieh.",
mausentig,mausentig,"mausentig alei 'ganz allein, als einzige(r)'.",
maustood,Maustood,"m.'Mäusetod', in der Redewendung schi der Maustood lachha 'sich halb tot lachen'.",
mee,mee,"'mehr, öfter'. Ds meera 'in der Regel; meistens; gewöhnlich'; chomat mee 'besucht uns wieder' (Abschiedsgruss); as ischt mee as rächt 'das ist recht geschehen'; i ha s scho mee (va meena) ghöörd 'ich habe es schon mehrere Male (von mehreren) gehört; ma hed n scho mee vertwüsscht 'er wurde schon öfters erwischt'.",
meeja,meeja,(gmeed)'mähen'.,
meeli,Meeli,"n./f.'der Ertrag des einmaligen Melkens'. Vgl. einermeelig und zweiermeelig.",
meengga,meengga,"(gmeenggat)'klagen; langweilig, unzufrieden sprechen'. Mhd. mengen. Auch jäämara.",
meenggi,Meenggi,"m.'Jammerer, Nörgler'. Auch Jäämari.",
meentig,Meentig,"m.'Montag'. A ma Meentig 'montags'.",
meetersaeaega,Meetersääga,"f.'«Metersäge», Zurichtsäge'.",
megari,Megari,"f. Pl. Megarna'Magerwiese, ungedüngte Wiese'. Zu mager.",
megarlimuggi,Megarlimuggi,"m. Pl. gl.'sehr schlanker, dünner Mann'. Zu mager.",
meggara,meggara,(gmeggarat)'meckern'.,
meia_1,Meia,"m.der Monat Mai. Da Maia 'im Mai'.",
meiachaefara,meiachäfara,"(meiakäfarat)'Maikäfer einfangen'.Die Maikäfer wurden als Schädlinge eingefangen, in heissem Wassergebrüht und dann im Chäferloch vergraben; das Einfangen derMaikäfer gehörte zum Gmeindwäärch.",
meiachaefer,Meiachäfer,m.'Maikäfer'.,
meiagschir,Meiagschir,n.'Blumentopf'.,
meiariisli,Meiariisli,"n.[mèiarí:sli]'Maiglöckchen', nur von den gezüchteten. Älter Gleiali.",
meiasaes,Meiasäs,"n.'«Maiensäss», Frühlings- und Herbstalpe. In Triesenberg sind das Steg und Silum.",
meiastender,Meiastender,"m.'«Maienständer», Blumengestell'.",
meili,Meili,"n.,weibl. Vorname, Spielform von Maria.",
meina,meina,"(gmeind)'meinen'. Guat meina '(es) gut meinen', ich ha gmeind ... 'ich habe geglaubt ...', ma chönnt meina 'man könnte meinen', äns will i meina 'das will ich schon annehmen.",
meiraad,Meiraad,"m.,männl. Vorname Meinrad.",
meiti,Meiti,"n. Pl. Meitla, Meitja'Mädchen'. Redensart: Um und um sind d Läda zua, und um und um gid s Meitla gnuag, und we ma wil di schönschta druus, muas ma halt ga Fromahus.",
meitlaschmegger,Meitlaschmegger,"m.'«Mädchenschmecker»', Schimpfwort in der Kindersprache für einen Knaben, der sich oft mit Mädchen abgibt. Zu schmegga.",
meng,meng,"'viel, manch'. Mengs Stüggli Vee 'viele Stück Vieh', mengi Stund 'viele Stunden', menga Tag 'viele Tage lang'.",
menga,menga,'mancheiner'.,
mengi,mengi,'mancheine'.,
mengs,mengs,'mancheines'.,
mengsmaal,mengsmaal,"'manchmal, oft'. I ha mengsmaal a di dengt 'ich habe oft an dich gedacht'. Auch vilhaft.",
meni,Meni,"f.'Fuhrwerk; Rinder oder Ochsengespann'. Mhd. mene, menî.",
mensschala,mensschala,"(gmensschalat)'«menscheln»'. As mensschalat '«es menschelt», es zeigen sich menschliche Schwächen'.",
mensschamuegli,mensschamügli,'menschenmöglich'.,
merggis,Merggis,"fiktiver Ort in der Redewendung du bischt au nid va Merggis 'du kommst auch nicht aus Merggis'. Zu mergga 'merken'.",
merza,Merza,"m.der Monat März. Da Merza 'im März'.",
merzabuschi,Merzabuschi,"n.'die- oder derjenige, die (der) am 1. März zum Merzabuschi gemacht wird'.Was heute der 1. April ist, war vor allem für die Kinder früher der 1. März.",
merzafueli,Merzafüli,"n.'«Märzfohlen», Grünspecht'. Nach seinem, dem Wiehern ähnlichen Geschrei.",
merzameia,Merzameia,"f.'Gänseblümchen (Bellis perennis L.)'.",
messerla,messerla,"(gmesserlat)Bubenspiel mit dem Hegl. Der Hegl muss in verschiedenen Varianten (mit Umdrehungen, geworfen, vom Finger, von den Knien etc.) so auf den meist feuchten Erdboden fallen, dass er stecken bleibt.",
metzg,Metzg,f.'Metzgerei'.,
metzga,metzga,"(gemetzgat)'«metzgen», schlachten'.",
"metzgata,",Metzgata,"f.auch Metzgati 'die Tätigkeit des Metzgens', zuweilen auch der Ertrag des einmaligen Metzgens.",
michhl,Michhl,"m.männlicher Vorname Michael.Kinderreim: Michhelti, Machhelti, brunzat i ds Chachhelti, ds Chachhelti rinnd, ds Michhelti stingt.",
mid,mid,"'mit'. Mid Huud und Haar '«mit Haut und Haar»; mid Stumpf und Stil '«mit Stumpf und Stiel»'.",
midatag,Midatag,"m.'Mittag'. Z Midatag 'zu Mittag, Mittagessen'; z Midatag trääga '«zu Mittag tragen», das Essen zur Heuarbeit bringen'; a ma Midatag 'jeweils mittags'.",
midataglueueta,Midataglüüta,"n.'Mittagläuten', täglich um 11 Uhr.",
mies,Mies,"n.'Moos'. Mhd. mies.",
miesa,miesa,"(gmiesat)'«moosen», die Fugen zwischen den Balken, z. B. beim gestrickten Haus mit Moos verstopfen'.",
mieta,mieta,"(gmietat)'dem Vieh Salz verabreichen'. Mhd. mieten 'etwas verabreichen'.",
migga,Migga,"f.'süssliches Weissbrotgebäck'. Mhd. micke 'kleines Brot'.",
migla,Migla,"f. Pl. gl.'Brosame, Krümel'. Rätoromanisch micla.",
miglata,Miglata,"f.'herumliegende Brosamen', kollektiv für Migla.",
mii,mii,"'mir, mein', miina 'meiner', miini 'meine'. Wäga miina 'wegen meiner'.",
milbuu,Milbuu,"n.mundartlich für Malbun,as Milbuu 'ein Besitz im Malbun'.","Dein Browser unterstützt die Sprachausgabe nicht."
milch,Milch,"f. koll.'Milch'. Gänzi Milch 'Vollmilch'; bläui Milch 'entrahmte (aabgraumati, vgl. aabrauma) Milch'; gschtoggti («gestockte») bzw. diggi («dicke») Milch 'geronnene Milch'. Vgl. auch Zentrifuugamilch und Anchmilch.",
milchbanch,Milchbanch,"f.'«Milchbank», Bank an der Vorderseite des Stalls, auf welche die Milchkübel gestellt werden'.",
milchboga,Milchboga,"m.'«Milchbogen», Tabelle oder Verzeichnis des Milchertrags der einzelnen Kühe auf der Alpe'. Vorgänger des Milchbuachs.",
milchbuach,Milchbuach,"n.'«Milchbuch», Verzeichnis des Milchertrags der einzelnen Kühe auf der Alpe'.",
milchfuarma,Milchfuarma,"m.'«Milchfuhrmann», derjenige, der die Milch von den Alpen holt und in die Sennerei führt'.",
milchmuas,Milchmuas,n.'«Milchmus»'.,
milchsiihi,Milchsiihi,"n.'Milchsieb'. Zu Siiha.",
milchzentraali,Milchzentraali,"f.'«Milchzentrale», Milchsammelstelle, Sennerei'.",
mili,Mili,"m.männl. Vorname, Kurzform von Emilian oder Maximilian.",
mischgla_1,Mischgla,"f.'Mistel'. Mhd. mistel.",
mischter,Mischter,"m.'«Mister», derjenige, der auf der Alp die Ställe auszumisten hat'.",
mischtlaeger,Mischtläger,"n.'«Mistlager», Mistgrube'. Auch Mischtloch.",
mischtloch,Mischtloch,"n.'«Mistloch», Mistgrube'. Auch Mischtläger.",
mischttruegga,Mischttrügga,"f.'eine Trügga für Mist'.Sie wurde meist auf einem vierrädrigen Karren transportiert.",
misesscha,Misesscha,"n.mundartlich für Masescha,'ein Besitz auf Masescha'.",
misschla,misschla,"(gmisschlat)'«mischen»', besonders beim Kartenspiel. Jünger für mischgla.",
mitraegg,miträgg,"'schmutzig', wörtlich «mit Dreck». Siehe Drägg.",
mitwuchha,Mitwuchha,"m.'Mittwoch'. A ma Mitwuchha 'mittwochs'.",
mobed,Mobed,"n. Pl. gl., Dim. Mopedli'Moped, Mofa'",
modl,Modl,"m. Pl. Mödl'Hohlform', etwa für Gebäck,'Aussehen, die Ähnlichkeit mit den Eltern'. Vgl. auch Schlag.","Dein Browser unterstützt die Sprachausgabe nicht."
moeggala,möggala,"(gmöggalat)'ranzig, nicht mehr ganz frisch riechen', nur vom Fleisch, bei der Butter sagt man reeggala.",
molcha,Molcha,"n. koll.'Ertrag an Milch und Milchprodukten auf der Alp'. Ds Molcha hola 'den Milch- und Käseertrag auf der Alp abholen'. Mhd. molchen.",
moora,moora,"'morgen'. Mhd. morne.",
moorgat,Moorgat,"m. Pl. Möörgat'Morgen'. Z Moorgat 'zu Morgen, Morgenessen'; am Moorgat 'morgens'. Auch Moorgend.",
moorgatraega,Moorgaträga,"m.'Morgenregen'. In der Redewendung Moorgaträga und Wiiberwee sind am Nüüni niena mee 'Morgenregen und der Kummer der Weiber sind um 9 Uhr nirgends mehr'.",
moorgend,Moorgend,"m.Aussprachevariante zu Moorgat.",
moorggs,Moorggs,"m. Pl. Möörggs, oft auch koll. Murggsata f.'mühsames Tun, schwere Arbeit'.",
moorggsa,moorggsa,"(gmoorggsat)'«murksen»; nur mühsam bewerkstelligen; etwas gewaltsam zustande bringen'.",
moriggsla,moriggsla,"(gmoriggslat)'töten'. Vermutlich zu murksen.",
mort,Mort,"m.'Mord', in der Redewendung uf Mort und Brand '«auf Mord und Brand», mit übergrossem Eifer.",
morz,morz,"Verstärkungspräfix 'ziemlich'. An morz strengi Aarbat 'eine ziemlich strenge Arbeit', auch an morz Kärli 'ein ziemlicher (= ziemlich grosser, starker) Kerl'.",
moscht,Moscht,"m.'«Most», saurer, alkoholhaltiger Apfelmost'.",
moschta,moschta,"(gmoschtat)'«mosten», Moscht machen'.",
moschtfaesli,Moschtfäsli,"n.'«Mostfässlein», Holzfass für Most'.",
moschti,Moschti,"f.'Mosterei', der Raum, wo der Most bereitet wird.",
moschtops,Moschtops,"n.'Mostobst'. Man unterscheidet Moschtops und Falops.",
moessch,Mössch,"n.'Messing'. Mhd. messe.",
mott-tag,Mott-Tag,"m.'Tag, an welchem Mottwätter herrscht'.",
mottwaetter,Mottwätter,"n.'bewölktes, trübes Wetter'. Vgl. muussig und Mott-Tag, auch Muudertag.",
muad,Muad,"m. koll.'Mut','Absicht'. Warhi hescht Muad? 'wohin (zu gehen) hast du im Sinn?'. Mhd. muot. Im nhd. Sinn 'Mut' nicht üblich, dafür eher Guraschi.",
muas,Muas,"n.'«Mus», Brei', speziell das Griesmuas.",
muasa,muasa,"(gmuasat)'Mus machen'.",
muasla,muasla,"(gmuaslat)'«muslen», (sinnlos) in etwas herumrühren, herumstochern.","Dein Browser unterstützt die Sprachausgabe nicht."
muaspfanna,Muaspfanna,"n.'«Muspfanne», Pfanne, in welcher das Mus gekocht wird'.",
muassa,muassa,"(muassa)'müssen'. Mua ma? 'muss man?'",
muata,Muata,"f.'Holzgefäss für die Aufbereitung des Mehls zu Teig beim Backen; Holzgefäss, in dem der Brotteig geknetet wird'. Vgl. auch Chnättmuata. Rätoromanisch muotta 'Gepse'.",
muatergottes-chaefer,Muatergottes-Chäfer,m.'Marienkäfer'.,
mudara,mudara,"(gmudarat).As mudarat sagt man vom wechselhaften Wetter, oder auch, wenn das Wetter schlechter wird.",
mueffala,müffala,"(gmüffalat)'modrig riechen'. Zu nhd. muffig.","Dein Browser unterstützt die Sprachausgabe nicht."
muga,muga,(muga)'mögen'.,
mugga,Mugga,f.'Mücke'.,
muggatanz,Muggatanz,"m.'«Mückentanz»; der Tanz der Mücken am Abend'. Muggatanz, moora Glanz '«Mückentanz, morgen Glanz»: wenn die Mücken tanzen, ist am nächsten Tag schönes Wetter'.",
mueggla,müggla,(gmügglat)'stottern'.,
muegglaga,Mügglaga,"m. Pl. Mügglagi 'Stotterer'.",
muggs,Muggs,"m.'einzelner Laut'. Kä Muggs mee '«kein Muggs mehr», totenstill'. Siehe auch vermuggsa",
muggsa,muggsa,"'einen Laut von sich geben'. Auch vermuggsa.",
muggsiera,muggsiera,"Nebenform zu muggsa.",
muegli,mügli,'möglich'.,
muheimali,Muheimali,"n. Pl. gl.'Grille'.",
mueli,Müli,"f. Pl. Mülana'Mühle',Stellung beim Nüünimaal (vgl. Figgi).",
muli,Muli,"m. Pl. gl.'Maulesel'.",
mundi,Mundi,"m.männl. Vorname, Kurz- bzw. Koseform von Emund.",
mungga,mungga,"(gmunggat)'(andauernd, auch widerwillig) kauen'.",
munggalibruu,munggalibruu,"'braun'. Munggali wohl zu Mungg 'Murmeltier'.",
muni,Muni,m.'Stier'.,
muenz,Münz,"f. koll.'Kleingeld'. Ahd. munizza.",
munzig,munzig,"'sehr klein; kaum sichtbar, winzig'.",
mura,mura,"(gmurat)'«murren», nörgeln'. Vgl. auch sura.",
muraelli,Murälli,"m. Pl. gl.'Hund'. Zu rätoromanisch murel 'Halsband für Hunde und Katzen'?",
murb,murb,"'gefügig, weich'. Ar ischt murba woorda 'er hat sich gefügt'; auch von weichem Obst. Mhd. mürwe.",
murbl,Murbl,"m. Pl. Mürbl, Dim. Murbelti'Murmeltier'. Ahd. muremuntî, mit vielen Spielformen. Auch Burmenta.",
murblschmutz,Murblschmutz,"m.'Fett des Murmeltieres'. Auch Burmentaschmutz.",
muschper,muschper,"'munter, lebhaft'. Auch buschper.",
musschala,Musschala,"f. Pl. gl.'lederner Riemen mit vorstehenden Nägeln'. Er wird auf der Alpe den Kälbern vorgebunden, um sie am Saugen bei den Kühen zu hindern. Zu frz. muselière 'Maulkorb'.",
muesschali,Müsschali,"n. Pl. gl.'ein Viertel eines Holzstamms, aus dem Schindeln geschnitten werden'.",
mutsch,Mutsch,"m.'Nutztier, das einen unschönen Kopf hat'. Mhd. mutsche 'Geringes'.",
mutschleer,mutschleer,"'ohne jeglichen Inhalt; vollkommen leer'.",
muetschli,Mütschli,"n.'Weissbrotgebäck mit Rosinen'. Mhd. mütschelin zu mutsche 'kleines, geringes Brot'.Kinder erhalten von den Taufpaten an Fronleichnam ein paar Mütschli; Fronleichnam wird auch Mütschlisunntig oder Mütschlitag genannt.",
mutterna,Mutterna,"f.'Alpen-Mutterwurz (Ligusticum mutellina)'.Das geschätzteste und milchergiebigste Futterkraut der Alpenweiden.",
muttla,Muttla,"f. Pl. gl.'ungehörnte Ziege'. Vgl. gmuttlat. Zu lat. mutilus 'verstümmelt'.",
muetzer,Mützer,"m. Pl. gl., Dim. Mützerli 'kleine Maus, Spitzmaus'.",
muudertag,Muudertag,"m.'Tag, an welchem muussigs Wetter herrscht (trüb, bewölkt)'. Siehe auch Mott-Tag und Mottwätter.",
muul,Muul,"n.'«Maul»; Mund'. Vam Muul aabspara 'vom Mund absparen'. Mhd. mûl.",
muula,muula,"(gmuulat)'«maulen», murren'.",
muulati,Muulati,"f. koll.'andauerndes Murren'.",
muulfueueli,Muulfüüli,"f.'«Mundfäule»; Schleimhautentzündung im Mund'.",
muuli,Muuli,"m.(f.)'einer, der (andauernd) mault'.",
muuloorgla,Muuloorgla,"f.'«Mundorgel»; Mundharmonika'.",
muulwaeaerch,Muulwäärch,"n.'«Maulwerk», Mundwerk'.","Dein Browser unterstützt die Sprachausgabe nicht."
muura_1,Muura,"f. Pl. gl., Dim. Müürli 'Mauer'.",
muuralatta,Muuralatta,"f.'«Mauerlatte»; auf der Fundamentmauer liegender oder in diese eingemauerter Balken als Unterlage der Bodenbretter'.",
muurer,Muurer,"m. Pl. gl.'«Maurer»'.",
muurerchella,Muurerchella,f.'«Maurerkelle»'.,
muurerhosa,Muurerhosa,"f.'«Maurerhose»; Überziehhose des Maurers'.",
muus,Muus,"f. Pl. Müüsch, Dim. Muusi'Maus'. Mhd. mûs.",
muusa,muusa,"(gmuusat)'«mausen»; Mäuse fangen'.",
muusbei,Muusbei,"n.'Mäuseknochen'. Muusbei mager 'mager, wie ein Mäuseknochen'. Zu Bei.",
muuser,Muuser,"m.'«Mauser»; wer (auch im Auftrag der Gemeinde) Mäuse fängt'.",
muusfalla,Muusfalla,f.'«Mausefalle»'.,
muussa,muussa,"(gmuussat)vom Wetter, wenn es muussig ist. As muussat asoo umma '«es (das Wetter) muussat so herum»'.",
muussig,muussig,"'bewölkt, trüb' (ohne Regen). Bei muussigem Wetter hat man magergeheut. Vgl. auch Mottwätter, Mott-Tag und Muudertag.",
nae,nä,(gnu)'nehmen'.,
naa,naa,'nach'.,
naach,naach,'nahe'.,
naachpuur,Naachpuur,m.'Nachbar'.,
naadisnaa,naadisnaa,"'nach und nach'.",
naadla,Naadla,"f. Pl. gl.'Nadel'. Naadla und Fada 'Nähzeug'.",
naahi,naahi,"'nachfolgend; vorwärts'.",
naahicho,naahicho,"(naahiko)'nachfolgen; den Anschluss halten können','begreifen, verstehen'.",
naahifaara,naahifaara,"(naahigfaara)'mit dem Vieh den Stall oder den Weideplatz wechseln'.",
naahifreega,naahifreega,"(naahigfreegat)'nachfragen, wiederholt fragen'. Är hed dr naahigfreegät.",
naahipluendara,naahiplündara,"(naahiplündarat)'zügeln'. Zu Plunder.",
naahiraechha,naahirächha,"(naahigrächhat)'mit dem Rechen den letzten Rest Heu oder Gras zusammennehmen'.",
naahitua,naahitua,"(naahitaa)'vorwärts machen','(bei einer Uhr den Zeiger) vorwärtsschieben'. 
Tua naahi 'mach (endlich) vorwärts'.",
naamanaemm,naamanämm,"[nà:man´ämm]'«nach diesem»; wenn es so ist; in diesem Falle'.",
naaschlaa,naaschlaa,"(naagschlaga)'nachgeraten'. Ar schlaad am Ätti naa 'er schlägt dem Vater nach'.",
naasummer,Naasummer,"m.'«Nachsommer»', die Zeit nach dem 16. August.",
naazi,Naazi,"m.männl. Vorname, Kurzform von Ignaz, Ignatius",
naebl,Näbl,"m.'Nebel'. Redensart: Vor Wienicht bringt r Brood, naa Wienicht bringt r dr Tood 'vor Weihnachten bringt er Brot, nach Weihnachten bringt er Tod'.",
nacht,Nacht,"f.'Nacht'. Tümmer as d Nacht '«dümmer als die Nacht», sehr dumm'; stoggtüngli Nacht '«stockdunkle Nacht», sehr finster'.",
nachta,nachta,"(gnachtat)'Nacht werden, dunkel werden'. Auch zuanachta.",
nachthemm,Nachthemm,"n.'«Nachthemd», Hemd, welches zum Schlafen angezogen wird'.",
naechti,nächti,"'gestern Nacht, gestern Abend'. Mhd. nähte.",
nachtliechtli,Nachtliechtli,"n.'Laterne, die bei der Beerdigung getragen wird'.",
naggig,naggig,"'nackt'. Mhd. nacke(n)t.",
naeggliich,näggliich,"[n´ägglì:ch]'«nett gleich», egal'.",
nagla,nagla,"(gnaglat)'«nageln», Nägel einschlagen'.",
nagltach,Nagltach,"n.'Dach, dessen kleine Holzschindeln angenagelt sind', im Gegensatz zum Schwaartach.",
naegwer,Nägwer,"m.'(Holz-)Bohrer'. Mhd. nabegêr.",
nanni,Nanni,"n.,weibl. Vorname, Kose-/Kurzform von Annemarie.",
napf,Napf,"m.'Käseform'. Auch Chääsnapf. Mhd. napf.",
nappanoor,Nappanoor,"n.Ds Nappanoor gä, ds Nappanoor alegga '(Kinder) erschrecken'.",
nappataetschi,Nappatätschi,"n.'das Abschlagen beim Fengara'. Ds Nappatätschi gä.",
naepsa,näpsa,"(gnäpsat)'schlummern, im Halbschlaf sein'. Vgl. auch noora.",
naerrsch,närrsch,"'närrisch, übermütig', auch 'geistig verwirrt'.",
nasa,Nasa,"f. Pl. Nasa, Dim. Nasi'Nase'. Uf d Nasa schiissa «auf die Nase scheissen» kann man jemandem, bei dem man nichts falsch machen kann. Schi sälber a der Nasa nä '«sich selbst an der Nase nehmen»'. Das hed an Nasa uuf '«das hat eine Nase auf»', sagt man, wenn etwas komplizierter ist, als es scheint.",
nasabooza,Nasabooza,f.'Nasenkrümel'.,
nasageech,nasageech,"'sehr steil', eigentlich 'steil wie eine Nase'. Zu geech.",
naescht,Näscht,"n. Pl. Näschter'Nest','Bett'. 
Jetz gaa wr i ds Näscht 'jetzt gehen wir zu Bett'.",
naeschta,näschta,"(gnäschtat)'das Bett machen', auch betta,'im Bett wühlen; unruhig schlafen'.",
naett,nätt,"'«nett»'. Gad nätt wia 'gerade so wie'. Vgl. auch näggliich.",
needlig,Needlig,"m.'Stück Faden'. Zu neeja.",
neehi,Neehi,"f.'Nähe'. Dr Neehi naa '«der Nähe nach», auf dem kürzesten Weg'.",
neeja,neeja,(gneed)'nähen'.,
neenaadla,Neenaadla,f.'Nähnadel'.,
neesa,Neesa,"f.weibl. Vorname, Kurzform von Agnes.",
neeschti,Neeschti,"f.'«Nächste (Zeit)», die baldige Zukunft'. Ir Neeschti 'nächstens, demnächst, bald'.",
neissa,neissa,"'irgendetwas'. Neissa ättas han i ghöörd '«irgendetwas etwas habe ich gehört»', neissa ättas ischt albi '«irgendetwas etwas ist immer»'. Mhd. neizwaz.",
neissas,neissas,"'etwas'. Ischt r neissas? 'ist er etwas (Wert)?'.",
neisswr,neisswr,"'jemand'. Neisswr hed s gseid '«jemand hat es gesagt»'.",
netza,netza,"(gnetzt)'«benetzen», nass machen'.",
nia,nia,'nie'.,
nid,nid,'nicht'.,
nidschi,nidschi,"'«niedsich», nach unten, abwärts'.",
nidschigeend,nidschigeend,'nidsigend'.,
niela,Niela,"f.'Waldrebe (Clematis vitalba L.)'. Mhd. liele.",
niemat,niemat,'niemand'.,
niemee,niemee,"'nie mehr'.",
niena,niena,"'«nienen», nirgendwo'.",
nienabaert,Nienabärt,"m.'«Nirgendsbert»'. In der Redewendung mit Vornamen mit -bert, z. B. Härbärt Nienabärt und doch daa.",
